ADD_USER user1
ADD_USER user2
ADD_USER user3
ADD_USER user4
ADD_USER user5
ADD_USER user6
ADD_USER user7
ADD_USER user8
ADD_USER user9
ADD_USER user10
ADD_USER user11
ADD_USER user12
ADD_USER user13
ADD_USER user14
ADD_USER user15
ADD_USER user16
ADD_USER user17
ADD_USER user18
ADD_USER user19
ADD_USER user20
ADD_USER user21
ADD_USER user22
ADD_USER user23
ADD_USER user24
ADD_USER user25
ADD_USER user26
ADD_USER user27
ADD_USER user28
ADD_USER user29
ADD_USER user30
ADD_USER user31
ADD_USER user32
ADD_USER user33
ADD_USER user34
ADD_USER user35
ADD_USER user36
ADD_USER user37
ADD_USER user38
ADD_USER user39
ADD_USER user40
ADD_USER user41
ADD_USER user42
ADD_USER user43
ADD_USER user44
ADD_USER user45
ADD_USER user46
ADD_USER user47
ADD_USER user48
ADD_USER user49
ADD_USER user50
ADD_USER user52
ADD_USER user53
ADD_USER user54
ADD_USER user55
ADD_USER user56
ADD_USER user57
ADD_USER user58
ADD_USER user59
ADD_USER user60
ADD_USER user61
ADD_USER user62
ADD_USER user63
LIST_FRIENDS user8
ADD_USER user64
LIST_FRIENDS user8
ADD_USER user65
ADD_USER user66
ADD_USER user67
ADD_USER user68
ADD_USER user69
ADD_USER user70
ADD_FRIEND user51 user52
ADD_FRIEND user51 user53
ADD_FRIEND user52 user54
ADD_FRIEND user52 user55
ADD_FRIEND user53 user56
ADD_FRIEND user53 user57
ADD_FRIEND user54 user58
ADD_FRIEND user54 user59
ADD_FRIEND user55 user60
ADD_FRIEND user55 user61
ADD_FRIEND user56 user62
ADD_FRIEND user56 user63
ADD_FRIEND user57 user64
ADD_FRIEND user57 user65
ADD_FRIEND user58 user66
ADD_FRIEND user58 user67
ADD_FRIEND user59 user68
ADD_FRIEND user59 user69
ADD_FRIEND user60 user70
DEGREES_OF_SEPARATION user51 user70
DEGREES_OF_SEPARATION user66 user70


ADD_POST user51 "Post number 1 from user51"
ADD_POST user51 "Post number 2 from user51"
ADD_POST user51 "Post number 3 from user51"
ADD_POST user51 "Post number 4 from user51"
ADD_POST user51 "Post number 5 from user51"
ADD_POST user51 "Post number 6 from user51"
ADD_POST user51 "Post number 7 from user51"
ADD_POST user51 "Post number 8 from user51"
ADD_POST user51 "Post number 9 from user51"
ADD_POST user51 "Post number 10 from user51"
ADD_POST user51 "Post number 11 from user51"
ADD_POST user51 "Post number 12 from user51"
ADD_POST user51 "Post number 13 from user51"
ADD_POST user51 "Post number 14 from user51"
ADD_POST user51 "Post number 15 from user51"
ADD_POST user51 "Post number 16 from user51"
ADD_POST user51 "Post number 17 from user51"
ADD_POST user51 "Post number 18 from user51"
ADD_POST user51 "Post number 19 from user51"
ADD_POST user51 "Post number 20 from user51"
ADD_POST user51 "Post number 21 from user51"
ADD_POST user51 "Post number 22 from user51"
ADD_POST user51 "Post number 23 from user51"
ADD_POST user51 "Post number 24 from user51"
ADD_POST user51 "Post number 25 from user51"
ADD_POST user51 "Post number 26 from user51"
ADD_POST user51 "Post number 27 from user51"
ADD_POST user51 "Post number 28 from user51"
ADD_POST user51 "Post number 29 from user51"
ADD_POST user51 "Post number 30 from user51"
OUTPUT_POSTS user51 10
OUTPUT_POSTS user51 -1


ADD_USER user71
ADD_USER user72
ADD_USER user73
ADD_USER user74
ADD_USER user75
ADD_FRIEND user71 user72
ADD_FRIEND user72 user73
ADD_FRIEND user73 user74
ADD_FRIEND user74 user75
ADD_FRIEND user75 user71
SUGGEST_FRIENDS user71 10
ADD_USER hub1
ADD_USER hub2
ADD_USER connector
ADD_USER spoke76
ADD_USER spoke77
ADD_USER spoke78
ADD_USER spoke79
ADD_USER spoke80
ADD_FRIEND hub1 spoke76
ADD_FRIEND hub1 spoke77
ADD_FRIEND hub1 spoke78
ADD_FRIEND hub2 spoke76
ADD_FRIEND hub2 spoke77
ADD_FRIEND connector hub1
ADD_FRIEND connector hub2
SUGGEST_FRIENDS connector 5


ADD_POST user1 "This post has special chars: @#$%^&*()"
ADD_POST user1 "Multiple    spaces   and   tabs"
ADD_POST user1 "Numbers 123456789 and symbols !?."
ADD_POST user1 "A very long post that contains a lot of text to test if the AVL tree can handle longer strings properly. This should not cause any issues with the implementation. The post should be stored correctly and retrieved in the right order."
OUTPUT_POSTS user1 4


DEGREES_OF_SEPARATION user1 user51
DEGREES_OF_SEPARATION user8 user15
LIST_FRIENDS user31
SUGGEST_FRIENDS user8 100


EXIT
